_IDSKU,IsMain,Label,Name,url
80104840,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/80104840_4.jpg
80104840,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/80104840_5.jpg
30103281,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/30103281_2.jpg
30103281,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/30103281_3.jpg
30103281,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/30103281_4.jpg
30103281,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/30103281_5.jpg
360130329,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/360130329_2.jpg
360130329,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/360130329_3.jpg
360130329,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/360130329_4.jpg
360130329,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/360130329_5.jpg
80104844,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/80104844_2.jpg
80104844,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/80104844_3.jpg
80104844,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/80104844_4.jpg
80104844,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/80104844_5.jpg
350111742,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/350111742_2.jpg
350111742,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/350111742_3.jpg
350111742,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/350111742_4.jpg
350111742,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/350111742_5.jpg
350111784,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/350111784_2.jpg
350111784,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/350111784_3.jpg
350111784,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/350111784_4.jpg
350111784,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/350111784_5.jpg
310104930,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/310104930_2.jpg
310104930,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/310104930_3.jpg
